"","slug_region","label_region","label","indicador","count"
"48","junin","Junín","Junín","especies_endemicas",18
"49","la-calera","La Calera","La Calera","especies_endemicas",34
"50","la-mesa","La Mesa","La Mesa","especies_endemicas",15
"51","la-palma","La Palma","La Palma","especies_endemicas",7
"52","la-pena","La Peña","La Peña","especies_endemicas",3
"53","la-vega-cun","La Vega","La Vega","especies_endemicas",20
"54","lenguazaque","Lenguazaque","Lenguazaque","especies_endemicas",3
"55","macheta","Machetá","Machetá","especies_endemicas",8
"56","madrid","Madrid","Madrid","especies_endemicas",8
"57","manta","Manta","Manta","especies_endemicas",1
"58","medina","Medina","Medina","especies_endemicas",31
"59","mosquera-cun","Mosquera","Mosquera","especies_endemicas",9
"60","narino-cun","Nariño","Nariño","especies_endemicas",3
"61","nemocon","Nemocón","Nemocón","especies_endemicas",2
"62","nilo","Nilo","Nilo","especies_endemicas",14
"63","nimaima","Nimaima","Nimaima","especies_endemicas",3
"64","nocaima","Nocaima","Nocaima","especies_endemicas",11
"65","pacho","Pacho","Pacho","especies_endemicas",21
"66","paime","Paime","Paime","especies_endemicas",5
"67","pandi","Pandi","Pandi","especies_endemicas",8
"68","paratebueno","Paratebueno","Paratebueno","especies_endemicas",5
"69","pasca","Pasca","Pasca","especies_endemicas",13
"70","puerto-salgar","Puerto Salgar","Puerto Salgar","especies_endemicas",13
"71","puli","Pulí","Pulí","especies_endemicas",4
"72","quebradanegra","Quebradanegra","Quebradanegra","especies_endemicas",8
"73","quetame","Quetame","Quetame","especies_endemicas",8
"74","quipile","Quipile","Quipile","especies_endemicas",4
"75","ricaurte-cun","Ricaurte","Ricaurte","especies_endemicas",7
"76","san-antonio-del-tequendama","San Antonio del Tequendama","San Antonio del Tequendama","especies_endemicas",27
"77","san-bernardo-cun","San Bernardo","San Bernardo","especies_endemicas",6
"78","san-cayetano-cun","San Cayetano","San Cayetano","especies_endemicas",7
"79","san-francisco-cun","San Francisco","San Francisco","especies_endemicas",16
"80","san-juan-de-rioseco","San Juan de Rioseco","San Juan de Rioseco","especies_endemicas",13
"81","sasaima","Sasaima","Sasaima","especies_endemicas",11
"82","sesquile","Sesquilé","Sesquilé","especies_endemicas",6
"83","sibate","Sibaté","Sibaté","especies_endemicas",13
"84","silvania","Silvania","Silvania","especies_endemicas",24
"85","simijaca","Simijaca","Simijaca","especies_endemicas",0
"86","soacha","Soacha","Soacha","especies_endemicas",31
"87","sopo","Sopó","Sopó","especies_endemicas",4
"88","subachoque","Subachoque","Subachoque","especies_endemicas",18
"89","suesca","Suesca","Suesca","especies_endemicas",7
"90","supata","Supatá","Supatá","especies_endemicas",6
"91","susa","Susa","Susa","especies_endemicas",4
"92","sutatausa","Sutatausa","Sutatausa","especies_endemicas",3
"93","tabio","Tabio","Tabio","especies_endemicas",9
"94","tausa","Tausa","Tausa","especies_endemicas",11
"95","tena","Tena","Tena","especies_endemicas",18
"96","tenjo","Tenjo","Tenjo","especies_endemicas",5
"97","tibacuy","Tibacuy","Tibacuy","especies_endemicas",11
"98","tibirita","Tibirita","Tibirita","especies_endemicas",0
"99","tocaima","Tocaima","Tocaima","especies_endemicas",7
"100","tocancipa","Tocancipá","Tocancipá","especies_endemicas",7
"101","topaipi","Topaipí","Topaipí","especies_endemicas",5
"102","ubala","Ubalá","Ubalá","especies_endemicas",26
"103","ubaque","Ubaque","Ubaque","especies_endemicas",12
"104","une","Une","Une","especies_endemicas",6
"105","utica","Útica","Útica","especies_endemicas",11
"106","venecia-cun","Venecia","Venecia","especies_endemicas",5
"107","vergara","Vergara","Vergara","especies_endemicas",3
"108","viani","Vianí","Vianí","especies_endemicas",0
"109","villa-de-san-diego-de-ubate","Villa de San Diego de Ubaté","Villa de San Diego de Ubaté","especies_endemicas",7
"110","villagomez","Villagómez","Villagómez","especies_endemicas",3
"111","villapinzon","Villapinzón","Villapinzón","especies_endemicas",7
"112","villeta","Villeta","Villeta","especies_endemicas",21
"113","viota","Viotá","Viotá","especies_endemicas",9
"114","yacopi","Yacopí","Yacopí","especies_endemicas",16
"115","zipacon","Zipacón","Zipacón","especies_endemicas",9
"116","zipaquira","Zipaquirá","Zipaquirá","especies_endemicas",7
