"","slug_region","label_region","label","indicador","count"
"53","la-vega-cun","La Vega","La Vega","especies_endemicas",43
"54","lenguazaque","Lenguazaque","Lenguazaque","especies_endemicas",35
"55","macheta","Machetá","Machetá","especies_endemicas",15
"56","madrid","Madrid","Madrid","especies_endemicas",15
"57","manta","Manta","Manta","especies_endemicas",1
"58","medina","Medina","Medina","especies_endemicas",44
"59","mosquera-cun","Mosquera","Mosquera","especies_endemicas",31
"60","narino-cun","Nariño","Nariño","especies_endemicas",10
"61","nemocon","Nemocón","Nemocón","especies_endemicas",19
"62","nilo","Nilo","Nilo","especies_endemicas",17
"63","nimaima","Nimaima","Nimaima","especies_endemicas",1
"64","nocaima","Nocaima","Nocaima","especies_endemicas",9
"65","pacho","Pacho","Pacho","especies_endemicas",70
"66","paime","Paime","Paime","especies_endemicas",0
"67","pandi","Pandi","Pandi","especies_endemicas",19
"68","paratebueno","Paratebueno","Paratebueno","especies_endemicas",1
"69","pasca","Pasca","Pasca","especies_endemicas",66
"70","puerto-salgar","Puerto Salgar","Puerto Salgar","especies_endemicas",3
"71","puli","Pulí","Pulí","especies_endemicas",0
"72","quebradanegra","Quebradanegra","Quebradanegra","especies_endemicas",0
"73","quetame","Quetame","Quetame","especies_endemicas",16
"74","quipile","Quipile","Quipile","especies_endemicas",4
"75","ricaurte-cun","Ricaurte","Ricaurte","especies_endemicas",1
"76","san-antonio-del-tequendama","San Antonio del Tequendama","San Antonio del Tequendama","especies_endemicas",89
"77","san-bernardo-cun","San Bernardo","San Bernardo","especies_endemicas",50
"78","san-cayetano-cun","San Cayetano","San Cayetano","especies_endemicas",13
"79","san-francisco-cun","San Francisco","San Francisco","especies_endemicas",96
"80","san-juan-de-rioseco","San Juan de Rioseco","San Juan de Rioseco","especies_endemicas",6
"81","sasaima","Sasaima","Sasaima","especies_endemicas",51
"82","sesquile","Sesquilé","Sesquilé","especies_endemicas",59
"83","sibate","Sibaté","Sibaté","especies_endemicas",64
"84","silvania","Silvania","Silvania","especies_endemicas",67
"85","simijaca","Simijaca","Simijaca","especies_endemicas",8
"86","soacha","Soacha","Soacha","especies_endemicas",102
"87","sopo","Sopó","Sopó","especies_endemicas",27
"88","subachoque","Subachoque","Subachoque","especies_endemicas",160
"89","suesca","Suesca","Suesca","especies_endemicas",34
"90","supata","Supatá","Supatá","especies_endemicas",25
"91","susa","Susa","Susa","especies_endemicas",9
"92","sutatausa","Sutatausa","Sutatausa","especies_endemicas",6
"93","tabio","Tabio","Tabio","especies_endemicas",39
"94","tausa","Tausa","Tausa","especies_endemicas",65
"95","tena","Tena","Tena","especies_endemicas",55
"96","tenjo","Tenjo","Tenjo","especies_endemicas",31
"97","tibacuy","Tibacuy","Tibacuy","especies_endemicas",15
"98","tibirita","Tibirita","Tibirita","especies_endemicas",1
"99","tocaima","Tocaima","Tocaima","especies_endemicas",17
"100","tocancipa","Tocancipá","Tocancipá","especies_endemicas",34
"101","topaipi","Topaipí","Topaipí","especies_endemicas",2
"102","ubala","Ubalá","Ubalá","especies_endemicas",20
"103","ubaque","Ubaque","Ubaque","especies_endemicas",44
"104","une","Une","Une","especies_endemicas",33
"105","utica","Útica","Útica","especies_endemicas",4
"106","venecia-cun","Venecia","Venecia","especies_endemicas",8
"107","vergara","Vergara","Vergara","especies_endemicas",3
"108","viani","Vianí","Vianí","especies_endemicas",1
"109","villa-de-san-diego-de-ubate","Villa de San Diego de Ubaté","Villa de San Diego de Ubaté","especies_endemicas",11
"110","villagomez","Villagómez","Villagómez","especies_endemicas",2
"111","villapinzon","Villapinzón","Villapinzón","especies_endemicas",36
"112","villeta","Villeta","Villeta","especies_endemicas",11
"113","viota","Viotá","Viotá","especies_endemicas",13
"114","yacopi","Yacopí","Yacopí","especies_endemicas",24
"115","zipacon","Zipacón","Zipacón","especies_endemicas",27
"116","zipaquira","Zipaquirá","Zipaquirá","especies_endemicas",68
