"","slug_region","label_region","label","indicador","count"
"114","tunja","Tunja","Tunja","especies_endemicas",45
"115","tunungua","Tununguá","Tununguá","especies_endemicas",0
"116","turmeque","Turmequé","Turmequé","especies_endemicas",7
"117","tuta","Tuta","Tuta","especies_endemicas",8
"118","tutaza","Tutazá","Tutazá","especies_endemicas",18
"119","umbita","Úmbita","Úmbita","especies_endemicas",9
"120","ventaquemada","Ventaquemada","Ventaquemada","especies_endemicas",59
"121","villa-de-leyva","Villa de Leyva","Villa de Leyva","especies_endemicas",122
"122","viracacha","Viracachá","Viracachá","especies_endemicas",15
"123","zetaquira","Zetaquira","Zetaquira","especies_endemicas",15
