"","slug_region","slug_grupo","label_region","label","registros_invasoras"
"1","almeida","animales","Almeida","Almeida",0
"2","aquitania","animales","Aquitania","Aquitania",10
"3","arcabuco","animales","Arcabuco","Arcabuco",29
"4","belen-boy","animales","Belén","Belén",19
"5","berbeo","animales","Berbeo","Berbeo",0
"6","beteitiva","animales","Betéitiva","Betéitiva",0
"7","boavita","animales","Boavita","Boavita",0
"8","boyaca-boy","animales","Boyacá","Boyacá",0
"9","briceno-boy","animales","Briceño","Briceño",0
"10","buenavista-boy","animales","Buenavista","Buenavista",0
"11","busbanza","animales","Busbanzá","Busbanzá",0
"12","caldas-boy","animales","Caldas","Caldas",0
"13","campohermoso","animales","Campohermoso","Campohermoso",1
"14","cerinza","animales","Cerinza","Cerinza",22
"15","chinavita","animales","Chinavita","Chinavita",0
"16","chiquinquira","animales","Chiquinquirá","Chiquinquirá",6
"17","chiquiza","animales","Chíquiza","Chíquiza",0
"18","chiscas","animales","Chiscas","Chiscas",0
"19","chita","animales","Chita","Chita",0
"20","chitaraque","animales","Chitaraque","Chitaraque",0
"21","chivata","animales","Chivatá","Chivatá",0
"22","chivor","animales","Chivor","Chivor",0
"23","cienega","animales","Ciénega","Ciénega",0
"24","combita","animales","Cómbita","Cómbita",4
"25","coper","animales","Coper","Coper",0
"26","corrales","animales","Corrales","Corrales",4
"27","covarachia","animales","Covarachía","Covarachía",0
"28","cubara","animales","Cubará","Cubará",0
"29","cucaita","animales","Cucaita","Cucaita",0
"30","cuitiva","animales","Cuítiva","Cuítiva",0
"31","duitama","animales","Duitama","Duitama",140
"32","el-cocuy","animales","El Cocuy","El Cocuy",1
"33","el-espino","animales","El Espino","El Espino",0
"34","firavitoba","animales","Firavitoba","Firavitoba",3
"35","floresta","animales","Floresta","Floresta",0
"36","gachantiva","animales","Gachantivá","Gachantivá",79
"37","gameza","animales","Gámeza","Gámeza",10
"38","garagoa","animales","Garagoa","Garagoa",0
"39","guacamayas","animales","Guacamayas","Guacamayas",0
"40","guateque","animales","Guateque","Guateque",0
"41","guayata","animales","Guayatá","Guayatá",0
"42","guican-de-la-sierra","animales","Güicán de la Sierra","Güicán de la Sierra",0
"43","iza","animales","Iza","Iza",0
"44","jenesano","animales","Jenesano","Jenesano",1
"45","jerico-boy","animales","Jericó","Jericó",0
"46","la-capilla","animales","La Capilla","La Capilla",2
"47","la-uvita","animales","La Uvita","La Uvita",0
"48","la-victoria-boy","animales","La Victoria","La Victoria",0
"49","labranzagrande","animales","Labranzagrande","Labranzagrande",0
"50","macanal","animales","Macanal","Macanal",2
"51","maripi","animales","Maripí","Maripí",0
"52","miraflores-boy","animales","Miraflores","Miraflores",0
"53","mongua","animales","Mongua","Mongua",58
"54","mongui","animales","Monguí","Monguí",37
"55","moniquira","animales","Moniquirá","Moniquirá",1
"56","motavita","animales","Motavita","Motavita",0
"57","muzo","animales","Muzo","Muzo",0
"58","nobsa","animales","Nobsa","Nobsa",49
"59","nuevo-colon","animales","Nuevo Colón","Nuevo Colón",0
"60","oicata","animales","Oicatá","Oicatá",16
"61","otanche","animales","Otanche","Otanche",0
"62","pachavita","animales","Pachavita","Pachavita",0
"63","paez-boy","animales","Páez","Páez",0
"64","paipa","animales","Paipa","Paipa",181
"65","pajarito","animales","Pajarito","Pajarito",1
"66","panqueba","animales","Panqueba","Panqueba",0
"67","pauna","animales","Pauna","Pauna",0
"68","paya","animales","Paya","Paya",0
"69","paz-de-rio","animales","Paz de Río","Paz de Río",4
"70","pesca","animales","Pesca","Pesca",0
"71","pisba","animales","Pisba","Pisba",0
"72","puerto-boyaca","animales","Puerto Boyacá","Puerto Boyacá",2
"73","quipama","animales","Quípama","Quípama",0
"74","ramiriqui","animales","Ramiriquí","Ramiriquí",0
"75","raquira","animales","Ráquira","Ráquira",1
"76","rondon","animales","Rondón","Rondón",0
"77","saboya","animales","Saboyá","Saboyá",2
"78","sachica","animales","Sáchica","Sáchica",4
"79","samaca","animales","Samacá","Samacá",0
"80","san-eduardo","animales","San Eduardo","San Eduardo",0
"81","san-jose-de-pare","animales","San José de Pare","San José de Pare",1
"82","san-luis-de-gaceno","animales","San Luis de Gaceno","San Luis de Gaceno",2
"83","san-mateo","animales","San Mateo","San Mateo",0
"84","san-miguel-de-sema","animales","San Miguel de Sema","San Miguel de Sema",8
"85","san-pablo-de-borbur","animales","San Pablo de Borbur","San Pablo de Borbur",1
"86","santa-maria-boy","animales","Santa María","Santa María",8
"87","santa-rosa-de-viterbo","animales","Santa Rosa de Viterbo","Santa Rosa de Viterbo",29
"88","santa-sofia","animales","Santa Sofía","Santa Sofía",28
"89","santana","animales","Santana","Santana",3
"90","sativanorte","animales","Sativanorte","Sativanorte",6
"91","sativasur","animales","Sativasur","Sativasur",0
"92","siachoque","animales","Siachoque","Siachoque",0
"93","soata","animales","Soatá","Soatá",0
"94","socha","animales","Socha","Socha",2
"95","socota","animales","Socotá","Socotá",0
"96","sogamoso","animales","Sogamoso","Sogamoso",22
"97","somondoco","animales","Somondoco","Somondoco",0
"98","sora","animales","Sora","Sora",0
"99","soraca","animales","Soracá","Soracá",0
"100","sotaquira","animales","Sotaquirá","Sotaquirá",261
"101","susacon","animales","Susacón","Susacón",0
"102","sutamarchan","animales","Sutamarchán","Sutamarchán",16
"103","sutatenza","animales","Sutatenza","Sutatenza",0
"104","tasco","animales","Tasco","Tasco",1
"105","tenza","animales","Tenza","Tenza",0
"106","tibana","animales","Tibaná","Tibaná",0
"107","tibasosa","animales","Tibasosa","Tibasosa",12
"108","tinjaca","animales","Tinjacá","Tinjacá",18
"109","tipacoque","animales","Tipacoque","Tipacoque",0
"110","toca","animales","Toca","Toca",2
"111","togui","animales","Togüí","Togüí",0
"112","topaga","animales","Tópaga","Tópaga",13
"113","tota","animales","Tota","Tota",1
"114","tunja","animales","Tunja","Tunja",477
"115","tunungua","animales","Tununguá","Tununguá",0
"116","turmeque","animales","Turmequé","Turmequé",4
"117","tuta","animales","Tuta","Tuta",25
"118","tutaza","animales","Tutazá","Tutazá",29
"119","umbita","animales","Úmbita","Úmbita",0
"120","ventaquemada","animales","Ventaquemada","Ventaquemada",0
"121","villa-de-leyva","animales","Villa de Leyva","Villa de Leyva",168
"122","viracacha","animales","Viracachá","Viracachá",0
"123","zetaquira","animales","Zetaquira","Zetaquira",0
